id,name,followers,popularity
1fY5Qzt8HgQOEMQ6EvlRWp,Marco Schelch,5605,25
6wBWBLQgEwIsC9galiOb7l,Holstuonarmusigbigbandclub,5650,36
3N4ZBIXZfvF0VLgEclgJvX,Enes Begovic,8855,35
1bVvwhtHbD84F522mOiFBC,Milan Stankovic,24107,44
6zn86iqNCkQZqsBvEv6oBO,Ritter Rost,11063,53
7If8DXZN7mlGdQkLE2FaMo,The Gaslight Anthem,298886,58
14rS2ly9OwEYY3sp6wghJO,Kurt Tepperwein,7679,38
3fi2XZbBQ4Px2T9ar6Es0M,Juice,7299,39
0jSih5LPRyNa5x7VMNPqUF,Schürzenjäger,22274,34
1JbDmDlop4Pm4IyJhc22jt,Petar Grašo,20390,41
5GQTwRGlE59rEbXDfGXoYI,Viera Blech,10713,41
0O7NhieDairfQvi9jr66Cx,NIHILS,14480,42
0vr6IcFPFgjLKLUNPDlWmS,PeterLicht,16010,40
5kPKxScleF9NjaqAAOkZd4,Max the Sax,8681,46
05ndiewdJogtosuRWN8iwF,Adaro,43766,54
7jy0nL3F5ehHJxXYMBImkk,Frittenbude,100379,46
4uQ7lQs9bxenbl5WQTaUf5,Jovan Perisic,15595,40
5faZyVmlARwkZUKNPRDXYt,Viki Miljkovic,24619,40
1V4SBWwlIJPrn9og0Au5rY,Mia Borisavljevic,24316,40
2tDVKS41XWT3vvy4A3ZbcV,Gisbert Zu Knyphausen,52653,47
1vLew3o8JIJ9XTCRkOCCbb,Sipo,15260,49
5nBItoqtPDVkiyNhzjbUO1,Jelena Karleusa,45676,40
6w9qL3TcjDhq2x3Hsv2uSu,Dženan Lončarević,26670,41
2ZWyXGoioNtP9ckJNTSvRF,Mate Bulic,7506,36
5YL5sKtxi1J4bApusQ2uwI,Thomas D,38778,38
3mkEZxRtYjtbhGeRv5eX6R,Ernst Molden,6044,37
04M031J6AL6BMAl8mRYxHy,Jeaw,9625,51
3QedSyA176gQkxfgUV4wCa,Jelena Rozga,17738,40
3gw5mHQWGJspoWjwqRtcHD,BVA,16296,42
6JmEMwDNuSUI03atBjGLT2,da Blechhauf´n,7707,36
0CqVW8NVc62ieVTxtvLnT0,5/8erl In Ehr'n,8671,30
185m2EJWTIm36MdqguiU8T,Freischwimmer,8881,53
0cuXND9aMsZhko0y3w8uxw,Vincent Lee,18540,52
0d11UzzOV1QCBaipv3cP6i,Kreiml & Samurai,8597,35
65hCfqmUQa7VdR6rKzsTaN,Toni der Assi,10468,40
5yNlFmp5vESd61p6Ob3Qzo,Lary,18551,54
2lnekSabtgxkHRWSb13o64,Klatschkind,14211,40
1BSQPdLAixzy85f5AXzVkp,Die Innsbrucker Böhmische,5879,38
4Jd9XCHzRXTB7ZPPVzJoUm,Milano,19014,49
3ARTpaBnC94FVM8X4zTZV0,Rade Lackovic,9585,38
4C7xdu7M6QHh7HqmiyJoTu,Razz,26449,47
13qDiWWIa4Gb6toRGszKKP,Jona Selle,6525,46
3Sf5uoWCOfrlpJYunDGw2G,Milica Pavlović,28197,43
4CV49Qz3PyqrcAAgfEOH53,Stefanie Werger,8741,31
431KEVcAHxXyC94cgMy9MZ,Rimski,27955,50
415CxUpa6CcHgLB9o7C4jJ,folkshilfe,22175,42
6qndIEvgFHLSuVsWADtFnu,Emadj,7467,35
0qDjS3REOxIaHm4gn0tyyS,Miligram,29396,43
4FL4X4J4kcvOG7d6V4r3PX,Die jungen Zillertaler,23326,42
7bZpsazP9325Jy6LLx2p7J,Vandal,34865,49
1q8H46YhdCtAO8tXHIWe2d,KYTES,30300,49
1yyVo8VBUjIsROi57j7UIh,Fiva,28517,41
6yFIJP4fPDT3kZR09UybzP,Gazda Paja,54803,48
5hNRMsMMDlMIvEwu4UvjQO,Sinan-G,74884,58
1HORQCHE3Q4m0tAKiRsIAB,Antilopen Gang,101451,54
3TqfPVt0HX8GCzNOOjDcum,Sun Diego,164163,53
3ovjYwwSGHLzEkRswfpxmb,Die Lochis,222208,51
245cfTGLRjFApGjsOe1hLL,Steaming Satellites,20161,39
5KmIMLx7aMUWKgeny53Tlf,Sandra Afrika,36558,45
4sOLJi96MhdlMv5Iz9YZT9,Sean Koch,36740,52
0a1z8mu6ociKEdsvNcQqJs,Shacke One,22530,45
3JE0uoggWwwYG6rSSJk0HN,FIL BO RIVA,102338,56
01eNVgZ9dzR28mpouhde9h,Matty Valentino,6495,47
3ygqQTBSK8J8EcverijxFD,Sabine Städing,13126,55
3ufl0BckLId1MPMWvCppQM,Prince Bopp,16062,41
2tuopAJlzPXrCsuAmae4sc,DeSchoWieda,17486,40
2IP71LH7CbwddhsEXBI0fy,1991,22328,53
55PFCVxZdhFTclW84nNMIJ,Seer,17664,40
5Q21lE17HPq3sOPh7bnWUm,Marco Wagner,14416,46
5PQVAGtwANqHreEKQJthOU,negatiiv OG,59392,60
5TWfctF6c9Iiq35fU8EJMi,Lemo,10599,42
1xmmqPgPSW7jn8rs6fH0e2,Austria 3,28029,41
1ZHJdXXtKnmUh2qRN4LmbS,Ben Zucker,235506,59
